            X               Y   Area
     -12.3370        -13.7595    R3
      3.26620         1.67280    R2
      12.3336         3.55670    R3
      12.2874         1.10080    R3
     0.929400        -4.73050    R2
     -12.5193        -1.70450    R3
     -10.8162        -4.15480    R3
      7.40100         9.33620    R2
     -10.4391         7.04900    R3
     -7.87260         9.66730    R2
     -8.49440         2.31500    R2
     -11.2960        -3.93000    R3
     -7.86360         11.0184    R3
      12.6599         5.12500    R3
     -8.81450        -4.73050    R2
      7.20120        -3.61600    R2
      9.46760         1.43730    R2
     -13.7440        -13.9700    R3
     -9.25370        -11.7265    R3
     -7.61480         6.38800    R2
     -8.50130        -3.37900    R2
      13.1219        -9.97810    R3
      4.31380        -12.0466    R3
     -4.15720        -4.45330    R2
     -7.64120        -11.0330    R3
     -9.06310        -8.35920    R2
     -3.70720        -1.85740    R2
      11.7326         10.1352    R3
     -5.63610         2.01740    R2
     -6.82630         12.0904    R3
      2.77180        -7.00480    R2
     -8.13320         5.76260    R2
     0.806500         2.37880    R2
      11.5235         4.68630    R3
     -2.13170        -6.86430    R2
      3.59380        -12.2364    R3
      2.98650         12.1435    R3
      6.41570         3.31840    R2
     -2.20430         2.50760    R2
     -7.35680         4.22940    R2
     -2.35050         8.15470    R2
     -1.67500         1.89320    R2
     -13.8449        -11.7310    R3
     -11.0350        -2.40290    R3
      4.65240        -10.0425    R3
      3.69690        -10.8052    R3
      9.72870        -11.8266    R3
    -0.914000         9.39600    R2
      1.38880        -10.9951    R3
     -3.21660         2.44000    R2
      5.58320         5.12350    R2
      10.3301        -2.99690    R3
     -1.31520        -2.68740    R2
    -0.808300         3.30450    R2
      8.30880         11.5452    R3
      10.8160        -2.29090    R3
     -8.73600         5.37010    R2
      11.3901        -11.4761    R3
      6.87460        -6.63720    R2
     -9.41620        -3.50320    R2
     -8.63940        -7.28380    R2
      8.46540        -10.0935    R3
     -8.18820        0.729700    R2
     0.550200         9.44400    R2
     -11.2485        -2.97270    R3
     -8.68090         8.35020    R2
      8.38430         3.58090    R2
      7.39830        0.502800    R2
     -9.10220         1.82050    R2
      2.43700         7.07370    R2
     -6.85800        -13.9219    R3
      1.55310         10.6728    R3
    -8.820000E-02    -5.16330    R2
     -13.7047         12.4427    R3
     -4.84460        -1.55440    R2
      11.4560        -6.84650    R3
     -9.56810         6.05490    R2
      1.84880         2.64920    R2
     -2.81620         2.30710    R2
      5.27050        -4.61070    R2
     -3.22840        -10.9665    R3
      7.94330        -10.3454    R3
      5.47780        -11.2133    R3
      10.5481        -2.23080    R3
     -13.1751         3.20250    R3
      6.06250       -0.162300    R2
      1.85810         3.88880    R2
      13.1350        -9.32760    R3
    -0.943800         1.57480    R1
     -2.91140         3.07950    R2
     -4.22050        -8.71470    R2
     -1.47180        -9.98160    R2
     -13.8522        -2.83260    R3
     0.329300        -8.51690    R2
     -12.2406        -8.41760    R3
      6.83510        -5.97160    R2
     -8.62690         8.01190    R2
      11.0813        -13.8826    R3
     -4.52110        -9.02550    R2
      6.14720         1.92430    R2
     -10.2115        -6.08650    R3
     -12.5760        -13.4014    R3
      12.2666        -11.6202    R3
     -5.14570         2.03920    R2
     -2.31640        -12.7210    R3
     -10.7458        -1.02670    R3
      7.31530        -1.61470    R2
      6.92540        -12.9077    R3
    -0.994300        -3.42920    R2
     -5.93690        0.279600    R2
      11.5852        -12.3543    R3
      5.35530       -0.916300    R2
      1.05070        0.332300    R1
      2.83670         2.16230    R2
     -8.11030        -10.8626    R3
     -13.7828        -4.12140    R3
      12.6538        -13.0091    R3
     -5.59330        -8.47840    R2
     -5.64500        -11.9172    R3
      11.1218        0.506900    R3
      10.4677        -13.1880    R3
      11.4344        -3.89070    R3
     -12.0331         8.88690    R3
     0.863600        -10.5707    R3
      6.56490        -12.3199    R3
     0.811400         12.8812    R3
     -5.39460        -3.37470    R2
    -0.980700        -1.77210    R1
      3.79380         1.32660    R2
      13.3114        -1.22720    R3
      4.79450         10.1248    R3
      3.01340         11.2378    R3
      7.71580        -10.6168    R3
      10.5827         9.25540    R3
     -5.92880        -7.37720    R2
     -3.48760         10.7993    R3
     0.528700        -8.01140    R2
      9.53010         4.52540    R2
      13.0822        -8.69400    R3
      1.45710         12.9747    R3
     -11.8669         9.45420    R3
     -10.5810         3.97890    R3
     0.730200         11.4828    R3
      13.3196        6.660000E-02R3
     -11.9001         13.3625    R3
      5.88020         8.78580    R2
      11.5089        -4.03860    R3
      7.66320        -6.85730    R2
      6.36400        -7.00790    R2
     -5.25710        -1.25640    R2
      12.2684         5.55600    R3
     -13.2750        -2.70190    R3
      4.68640        -6.44220    R2
     -12.3445        -8.13820    R3
      10.7802        -9.03800    R3
      12.3838         3.20660    R3
     -9.67710        -4.21220    R2
      10.2914         8.49030    R3
      6.21670        -13.6816    R3
     -2.26170        -6.29760    R2
      4.09340        -1.95040    R2
     -6.03550         5.35780    R2
      5.75080        -8.26280    R2
     -9.97140        -9.17330    R2
     -3.17770        -4.80010    R2
     -10.7923        -9.53960    R3
     -5.16230         9.78280    R2
     -12.5950         4.04980    R3
     -12.0711        -9.57850    R3
     -8.63460         2.94050    R2
     -6.02550         9.05380    R2
     -2.29870         11.3234    R3
      7.04020        -7.13890    R2
      3.33310        0.635800    R2
      10.5930       -0.721000    R3
     -3.43040         4.00990    R2
     -11.5543        -4.78010    R3
      6.01760        -8.38990    R2
      9.41030        -13.2877    R3
      11.0190         8.85060    R3
     -11.9454        -8.23290    R3
     -1.22700        -4.24870    R2
     -11.5514        0.403900    R3
     -5.39340         5.14290    R2
     -1.55350        -6.77870    R2
     -2.73710        -12.5991    R3
     0.949600        -1.33860    R1
      8.89030        -10.6677    R3
     -9.93050        -5.95470    R2
     -11.6920        0.968000    R3
      6.35060        -13.1098    R3
      13.9835        -6.58670    R3
      13.8537        -10.4751    R3
     -9.35580        -7.81390    R2
     -12.3898        -8.54960    R3
      2.88590        0.138500    R2
     -5.14930        -7.85640    R2
    -0.545700        -2.40010    R1
      4.20970         8.52910    R2
      12.0136         4.67000    R3
    -0.210300        -13.2899    R3
    -0.936500         4.25040    R2
      6.92560         9.31270    R2
      5.10690        -12.6595    R3
     -5.98470        -11.7794    R3
     -4.32900         3.92210    R2
     -3.01470        -13.9240    R3
     -3.49710        -3.11970    R2
      6.85670         4.60080    R2
     -6.98850         10.4742    R3
      2.08400        -9.67680    R2
     -5.27660         12.3030    R3
     -10.7961        -8.47460    R3
      7.30250         1.78700    R2
      11.2843        6.560000E-02R3
     -8.55390         12.9234    R3
      9.67390        -6.39570    R2
      7.42190         2.88430    R2
     -12.6429        -6.56060    R3
     -5.84220         4.93150    R2
      12.2138         9.43680    R3
     -12.6530         5.99290    R3
      4.14850         10.0906    R3
      6.10330        -3.09610    R2
      2.04990         2.16900    R2
     -9.79400        -6.62850    R2
     -9.37690        -1.31790    R2
      4.30060        -2.27820    R2
     -3.25960         5.03630    R2
      13.9751         1.88750    R3
     -2.83530         7.32150    R2
     -4.82040         5.67200    R2
     -1.33240        0.470300    R1
      8.50150         5.92870    R2
     -1.29460        -10.1850    R3
     -6.90870        -1.52280    R2
     -11.8343         5.17680    R3
      10.7212        -1.84400    R3
     -3.53240        -3.51090    R2
     -1.69180        -9.47250    R2
     -10.9500        -10.2775    R3
      13.8650         5.01850    R3
     -4.82810         4.60580    R2
     -11.9820        -1.37320    R3
     -2.13400        -2.21190    R2
     -12.0960        -11.3773    R3
     -8.67960        0.594200    R2
      6.97800        -8.84050    R2
     -9.32890         5.33500    R2
      3.31090        -5.29510    R2
      3.78550        -5.33160    R2
      7.60610         2.23450    R2
      6.27870         10.3017    R3
     -11.0895         10.9339    R3
      12.9142        -2.20030    R3
     -12.8375        -10.1303    R3
      10.5832       -5.000000E-02R3
      6.04910        -3.37890    R2
      6.64230        -4.81000    R2
     -6.55190        -4.68090    R2
      11.5491        -3.20430    R3
      5.47190         8.26060    R2
     -3.09690         1.96160    R2
     9.520000E-02    -8.45230    R2
      11.4298        -1.92000    R3
     -7.70180         11.4311    R3
     -8.63280        -10.2449    R3
     -4.32470         8.75130    R2
      4.16440        0.376100    R2
      9.57400        -4.46980    R2
     -1.91250        -5.19850    R2
      4.72530         3.54340    R2
    -0.950900        -4.77620    R2
      5.26370         1.17520    R2
      11.9866        -1.53330    R3
      5.56560        0.959100    R2
     -13.7710        -12.6394    R3
      9.60020        -7.92880    R2
      11.0057        -9.48970    R3
      8.45270        0.127800    R2
      5.80140        -2.01250    R2
      10.2975        -7.93310    R3
      3.71790       -0.719700    R2
     -12.5046        -4.55850    R3
     -4.58150        -7.48710    R2
      6.16030        -13.9492    R3
     -5.48270       -0.501800    R2
     -7.67690         10.3246    R3
     -12.4730        -4.99070    R3
      13.0020        -1.92790    R3
      9.04720        -1.13910    R2
     -1.38770       -0.923600    R1
     -8.18520         2.76830    R2
     -3.38060        -3.59720    R2
     0.845300        -5.92410    R2
      9.74920        -5.82760    R2
     -10.0719         10.7015    R3
     -10.9600        -1.93060    R3
      10.0290         4.72170    R3
      7.40550         13.1284    R3
     -6.25220        -3.63840    R2
     -4.37650         11.0916    R3
    -0.441200         6.14400    R2
     -11.0657         13.3465    R3
     0.106200         13.9776    R3
     -5.01410         4.81270    R2
      13.0686         7.49500    R3
      2.03260         6.50070    R2
     -2.74500         7.72570    R2
     -5.15850         5.74970    R2
     -1.05410        -6.39410    R2
      12.6071         7.68030    R3
      2.50870        -11.1758    R3
     -3.44210         3.71870    R2
      2.21680         10.2061    R3
      10.8241         12.7213    R3
     -4.86090         6.88850    R2
      4.76990        0.977100    R2
     -8.21340        -6.56820    R2
      9.18280         5.52020    R2
     -7.06830        -10.0394    R3
    -0.655200         2.98330    R2
     -3.32160        -8.92360    R2
     -7.17230        -10.4917    R3
     -10.2404       -0.125600    R3
    -0.997700        -8.65280    R2
      5.66600        -6.65320    R2
      5.83780         1.37970    R2
      7.62720       -0.456700    R2
     -6.70680        -7.37690    R2
      3.99860        -12.8398    R3
     -9.80480         13.6431    R3
      8.61570       -0.404700    R2
      10.3923         7.19360    R3
     -4.88050        -10.5472    R3
     -1.11950        -3.28500    R2
     -9.94060        -4.62190    R2
      6.42290         7.61210    R2
      7.52230         3.11700    R2
      4.26580        -2.06200    R2
     -13.0266       -0.846600    R3
      7.11600         1.33030    R2
      12.0012        0.670700    R3
     -1.78850         4.18310    R2
      2.01780        -13.1805    R3
     -3.45380         13.1015    R3
      8.76600       -0.528500    R2
     -2.58350         2.18950    R2
     0.870900         11.3212    R3
     -2.60780         3.31060    R2
      11.0481         3.14570    R3
     -8.28430         6.85000    R2
      11.8553        -7.89080    R3
     -6.44190        0.171800    R2
     -3.91070         4.36900    R2
      11.5873       -1.950000E-02R3
     -5.94400         4.57510    R2
      4.56730        -2.98910    R2
      3.97170        0.489200    R2
     -12.1600         4.41140    R3
     -4.98400        -8.26470    R2
      11.5690        -5.93030    R3
      1.94900        -1.13860    R1
     -11.2225         11.8639    R3
     -2.73030        -1.88050    R2
     -13.9011        0.280300    R3
    -0.702800        -1.85470    R1
      6.54560         5.33530    R2
     4.170000E-02   -0.644100    R1
     -4.99950         12.0337    R3
     -9.66950         1.19130    R2
      11.0431        -3.80060    R3
      11.4713         6.94590    R3
     -1.65240         1.31720    R1
     0.764300         11.1459    R3
      12.5060        -10.2381    R3
      6.68990        -3.67040    R2
     -8.83150         8.73870    R2
      9.01970        -2.44870    R2
     -9.51450        -3.59850    R2
     -1.63290        -7.82130    R2
      2.17490        -10.1593    R3
      6.72910        -12.9513    R3
      12.1565        -2.31160    R3
     -8.95200        -5.25530    R2
     -5.57260         7.03370    R2
      12.3516         10.9594    R3
      10.1837         13.8817    R3
     -12.6081        -12.5827    R3
     -1.19190         2.84140    R2
     7.360000E-02    -8.82870    R2
      9.82880        -7.25190    R2
     -11.5493        -3.00020    R3
      11.0702        -6.48090    R3
     -5.78810         6.86110    R2
     -11.4518        -1.76150    R3
     -7.93130        -12.2654    R3
      10.5850       -1.280000E-02R3
      1.92070        -12.7092    R3
    -0.237200         7.09230    R2
     -7.51790       -0.770700    R2
      2.33350         1.06110    R2
     -5.16200        -11.7449    R3
    -0.489400         8.67150    R2
     -13.0626         3.79000    R3
     -2.71290       -0.440400    R2
    -0.576900         6.05930    R2
     -8.73380         11.7016    R3
     -2.27420        0.511800    R1
     -6.91440        -4.92020    R2
     -2.29780        -7.39790    R2
     -6.41170         6.59170    R2
      7.89340         7.89490    R2
     -1.77640         2.67960    R2
     -8.97070         11.4041    R3
     -6.91680         2.91250    R2
     -7.60880        -5.74290    R2
     -8.80760        -6.95980    R2
      12.5665         3.87740    R3
      8.57580         6.35100    R2
     -12.1852       -0.581500    R3
     -11.7621       -0.584600    R3
      7.90170        -5.92470    R2
     -4.25360         9.44310    R2
      1.51220        0.649100    R1
      7.45050         7.03990    R2
     -8.86150         10.5066    R3
      7.32530         13.1999    R3
    -0.225000        -10.0777    R3
     -10.9187        -9.53440    R3
     -7.20770         6.48110    R2
     -9.12770        -4.81000    R2
      7.54550        -11.6718    R3
    -0.879000         13.1943    R3
     -8.16880        -6.81180    R2
      5.98350         8.89390    R2
     -13.3074         5.26300    R3
     -3.66810        -5.31520    R2
      12.4381       -0.816300    R3
     -8.34460         5.26020    R2
     -6.83340        -1.54320    R2
      3.46200        -10.4810    R3
      10.7227         4.46400    R3
      7.05640        -12.5664    R3
      7.08430         2.07100    R2
      2.12570        -13.2375    R3
     -6.58520        -7.91300    R2
     -12.6004        -6.35500    R3
      5.79060        -1.61180    R2
     -2.00090        0.264500    R1
     -1.99650        -3.34370    R2
     -1.82310         1.66220    R1
     -3.96830        -5.58140    R2
      6.73420        -3.37880    R2
      2.81590        -9.45940    R2
      13.1081        -1.26700    R3
      1.04590        -8.29430    R2
     0.434700         6.60080    R2
      10.5910         9.00130    R3
     -7.93690        -11.7642    R3
     -1.85240         7.20360    R2
      2.18390         10.0033    R3
      9.26900        -3.40570    R2
     -6.04670         2.15560    R2
     -12.6599         3.26640    R3
     0.631400        -12.0272    R3
     -10.5845         3.01630    R3
      2.53710         5.84810    R2
    -0.846600         10.0882    R3
      1.36620        -8.40810    R2
      13.3508        -9.38020    R3
      13.7505         1.50310    R3
     -2.81290         3.69930    R2
     -5.58800        -10.4200    R3
      1.23280        -8.86260    R2
     -5.35080        -13.0893    R3
     -12.9831        -2.47220    R3
      4.97660        -7.33490    R2
      13.6356       -0.169400    R3
      1.43100         4.87900    R2
      13.3794         11.3049    R3
     -5.26800         12.3920    R3
      7.33340         4.34360    R2
     -1.16980         13.7834    R3
      2.78290         11.9682    R3
      12.2262         11.7290    R3
      12.7066        -13.0813    R3
     -7.08340        -12.5096    R3
     -6.83200        -3.84860    R2
      13.7044         7.87820    R3
     -1.64760        -13.4503    R3
     -6.98730        0.325600    R2
      2.76850         4.53750    R2
     -12.4330        -2.12760    R3
      8.36530        -1.24140    R2
      1.58180        -13.3799    R3
     -2.70260         11.1446    R3
     -3.77570        0.281400    R2
      5.54810         13.0838    R3
      2.13860         1.59270    R2
      7.96120         1.10420    R2
     -13.0247        -7.57040    R3
     -13.2181        -10.9121    R3
     -12.9370         11.0850    R3
      12.9642        -1.64560    R3
     -1.63310        -2.36760    R2
      12.7031         10.4185    R3
      11.7329         12.8542    R3
     -4.27750        -5.92950    R2
      4.95960         8.00820    R2
      12.9105         9.19530    R3
      1.74530       -0.696100    R1
      8.52400        -2.22220    R2
     -13.1500        -5.38770    R3
     -6.99490         1.09110    R2
     -7.37020         4.67010    R2
     -6.18510        -2.60450    R2
      4.75420         3.60590    R2
     -9.79730        -11.3858    R3
    -0.582800        -13.5825    R3
     -2.22810         11.6211    R3
      11.8604         4.82550    R3
      9.13250        -6.26880    R2
      7.31300        -5.86790    R2
      11.5575        -10.7189    R3
     -5.45430         7.41620    R2
      9.23920        -12.0720    R3
      8.34410        -1.47210    R2
      8.59260        -7.85440    R2
     -11.2772         13.3865    R3
     -5.62000        -3.97870    R2
     -6.36870         8.35580    R2
     -5.49530         12.1330    R3
     -10.8547        -6.37000    R3
      4.50060        -6.88380    R2
     -8.32220        -13.2704    R3
    -0.181100        -1.16750    R1
      10.2592        -6.18010    R3
     -8.11420        -12.7150    R3
      8.08690         5.06320    R2
      3.20100        -13.4074    R3
      7.36260        -7.98770    R2
     -9.67970         3.86900    R2
      3.82550         3.67150    R2
      10.1348        -11.7994    R3
     -6.94550        -9.78490    R2
     -7.07670        -3.86300    R2
     -10.8192         11.9938    R3
      9.05190         8.69030    R2
    -0.629800        -13.9779    R3
     -4.66690        0.613000    R2
      1.58010         5.63120    R2
     -6.90090         10.5421    R3
      12.4735        -10.4033    R3
     -3.25990         8.27590    R2
     -11.7186        -7.98830    R3
      12.1819        -3.38950    R3
     -6.42260        -4.40580    R2
     -5.61020        -13.1816    R3
     -2.98050        -2.37780    R2
      9.01830        -6.38990    R2
     -11.7697         12.5565    R3
      10.0148         6.62460    R3
      3.93850        -7.46100    R2
      12.4169        3.040000E-02R3
     -5.94250        -3.53440    R2
      1.20700         1.56820    R1
     -10.7764         12.7265    R3
     -5.30690         13.0875    R3
      13.3043         1.74560    R3
      7.05680         5.53570    R2
     -6.83400        -2.40810    R2
     -5.12790         6.67840    R2
     -6.52190        -10.7712    R3
     -1.39560         10.2420    R3
     -1.85290         2.07970    R2
      3.80210         12.6984    R3
      10.8197        -4.35320    R3
     -4.80390        -13.3826    R3
      9.80140        -3.74150    R2
      5.42960         3.20560    R2
      13.7723         11.4924    R3
     -3.93800         11.2209    R3
      11.9110         5.94390    R3
     -1.11630        -11.5804    R3
      3.60110        -4.61020    R2
      6.79270         10.5044    R3
      6.08100        -10.9195    R3
      10.8073        -9.75610    R3
      1.92400         7.31500    R2
    -0.686300         8.02790    R2
     -2.86470         11.5230    R3
     -10.7944         11.7661    R3
     -6.49470        -2.59650    R2
     -9.77500        0.937700    R2
     -13.3000        -12.7863    R3
     -5.97550         1.61780    R2
     -12.1324         10.0469    R3
     0.224400         3.51670    R2
     -8.19860         9.27040    R2
      10.6339        -3.55050    R3
      7.95580         1.70690    R2
     -4.72180        -11.6696    R3
      10.9156        -7.43380    R3
      9.57040        -11.1072    R3
     -9.44650         10.6189    R3
      9.96550         2.88260    R2
      5.76790        -11.5417    R3
     -13.0955        -11.2124    R3
     -8.55090        -10.1831    R3
      8.71370        -12.2490    R3
     -9.80060         8.99280    R2
     -6.21350         11.6728    R3
     -9.43840         4.03380    R2
     -9.33380         2.97310    R2
     -10.2537        -9.12000    R3
     -3.28370         12.8395    R3
     -11.8635         4.01750    R3
      12.4650        -2.55000    R3
     -9.60490         5.43530    R2
     -7.61220        -5.99680    R2
      12.5991        -13.2205    R3
      10.7817         4.47400    R3
     -9.86940        -11.1053    R3
      9.81740         1.65780    R2
     -11.7571        -2.23700    R3
     -10.7823         4.70920    R3
      9.88570         11.7525    R3
      3.67690        -11.5141    R3
     -9.75620         9.28400    R2
     -7.33990        -10.8864    R3
      5.24990         2.37230    R2
      3.87910       -0.938400    R2
      2.40440        -10.0286    R3
      5.75540         4.90030    R2
      5.94210         12.2220    R3
     -2.46820         7.56140    R2
      4.05880         1.11600    R2
      3.36080         2.91120    R2
     -1.74610         4.66840    R2
     -10.9593         7.36590    R3
      12.6980        -5.88150    R3
      2.34410         10.5042    R3
      7.51000         8.79490    R2
      6.11850         5.11150    R2
     -10.9601        -12.8076    R3
      2.68430        -8.74840    R2
     -11.5978         1.70610    R3
      11.8743         11.8323    R3
      5.01590        -11.1057    R3
     -13.8090        0.101700    R3
     -7.21120         8.36020    R2
     -10.4886        -4.52000    R3
     -13.3877        -8.29350    R3
      10.1025         9.33840    R3
     -11.1472         13.7192    R3
     -3.89340         6.65530    R2
     -13.7111        -3.90510    R3
     -8.66240        0.113100    R2
      4.53900        -4.18270    R2
      8.43000        0.609300    R2
      5.54710        -12.5754    R3
      13.1501        -5.71260    R3
      12.7844        -4.91920    R3
      1.66410         9.07970    R2
     -9.73560        0.306500    R2
     -3.90440        -11.8811    R3
     -9.53920         4.31970    R2
     -1.83860         10.7645    R3
     -3.23810         11.2263    R3
      8.55680         11.3268    R3
     -9.44830         10.5734    R3
     -2.84040         3.55180    R2
    -0.259000         7.81510    R2
     -12.6200         13.8442    R3
     -11.0130        -7.73800    R3
     -5.27540        0.703400    R2
      11.8184        -9.65450    R3
     -12.3280         2.21620    R3
    -0.497800         6.23900    R2
      1.16750         6.58400    R2
     -9.57260         10.9868    R3
      13.0904        -13.3927    R3
     -13.4748         13.9757    R3
     -13.6135         3.75600    R3
    -0.225100        -2.45580    R1
      9.74200         11.9476    R3
      13.4115         13.4519    R3
    -0.284200         3.82990    R2
    -0.825600         12.3776    R3
      6.70810         6.10630    R2
     -11.4787         13.2325    R3
     -2.34660         13.2605    R3
     -7.33330        -6.94890    R2
      6.18500         13.8353    R3
     -7.56920         2.44140    R2
      13.4858         7.35050    R3
     -8.20800         5.68110    R2
     -6.05990        -6.04870    R2
     -7.92630         12.7029    R3
     -11.5068        -11.4244    R3
      3.17850        -5.48480    R2
     -11.4316         2.77850    R3
      9.36080         4.36770    R2
     -6.00810         11.9509    R3
      10.9129         13.5268    R3
     -11.3135         5.53370    R3
      10.8331        -2.98170    R3
      12.4982        -2.68050    R3
     -1.04310        -8.07520    R2
     -13.6505        -3.35770    R3
     -3.57510         3.13120    R2
      2.52490         5.76170    R2
     -6.65760         9.77880    R2
      10.9876        -3.61650    R3
    -0.969200        -3.99200    R2
      10.2850         9.24190    R3
      7.14350        -13.4576    R3
     -8.51940         6.06050    R2
     -13.8196        -6.30880    R3
     -12.6110         13.4594    R3
      10.5133         9.39410    R3
      2.97340        -7.45980    R2
    -9.030000E-02   -0.326500    R1
      7.12970         11.6503    R3
      13.3778        -1.02370    R3
     -6.68570        -2.02750    R2
     -5.43200        -6.20070    R2
     -12.2603        -8.23430    R3
      4.59230        0.617200    R2
     -10.5618        -13.2465    R3
     -7.88220         9.26460    R2
      2.98980       -0.841700    R2
      7.94040        -3.59070    R2
     -13.6733       -0.280400    R3
     -10.0304        -10.9588    R3
      1.49490        -10.7344    R3
      5.92050         7.08860    R2
     -2.88110         2.35160    R2
      2.58680         13.9848    R3
      8.98370         10.8527    R3
      9.52650        -2.06910    R2
     -2.57450         11.1633    R3
     0.728300        -7.62500    R2
     -4.57990        -4.19130    R2
    -0.615900        0.806700    R1
      7.12340        -3.44110    R2
     -11.4655        -9.46840    R3
     -4.20370         7.43390    R2
      3.72410        -12.9763    R3
     -3.67430        -10.2527    R3
      6.48360         11.3644    R3
     -13.4692         4.57530    R3
     -1.56910       -0.116200    R1
      12.9918         5.75090    R3
      2.94650        -1.97300    R2
      3.14280        -13.2474    R3
      9.66460         6.33080    R2
     -8.94030        -1.71320    R2
      9.00690         13.6688    R3
     -7.41950         12.5414    R3
      9.11990       -4.870000E-02R2
      11.3124        -2.64380    R3
      3.76300        -7.13070    R2
     -10.6111         6.98790    R3
      2.31670        -8.59130    R2
      10.2594         9.86840    R3
     -11.9400         7.92820    R3
     -2.77840        -5.33570    R2
    -0.496400         4.07710    R2
      7.44380        -2.13180    R2
      8.84250        -3.23210    R2
     -12.0568        -6.08720    R3
      13.2931         8.31980    R3
     -5.34740         6.61890    R2
     -6.38900        -11.8064    R3
     -13.3184        -12.6210    R3
     -3.62610         2.78330    R2
      10.8317        -4.74630    R3
      11.8715         3.51390    R3
     -13.3081        0.663400    R3
     -4.56410        -2.04880    R2
     -5.99970        -11.9010    R3
